SAN,Carton Quantity SAN*,Amazon Identifier,Name,Address 1,Address 2,City,State,Zip,Country,Added,,,,
7800835,,VUGE,Amazon Nestle Vendor Flex CA,3450 Dulles Dr,,Mira Loma,CA,91752-3242,US,7-24-2017,,,,
8025304,8025312,ONT6,Golden State FC LLC,24208 San Michele Rd,,Moreno Valley,CA,92551-9561,US,7-24-2017,,,,
8026726,8026734,ONT8,Golden State FC LLC,24300 Nandina Ave,,Moreno Valley,CA,92551-9534,US,7-24-2017,,,,
9905170,,VUPG,Amazon.com.dedc LLC,16110 Cosmos Street,,Moreno Valley,CA,92551-7308,US,7-24-2017,,,,
802670X,8026718,OAK7,Golden State FC LLC,38811 Cherry St,,Newark,CA,94560,US,7-24-2017,,,,
9905235,,XLAA,Innovel,5691 E Philadelphia,Suite 100,Ontario,CA,91761-2802,US,7-24-2017,,,,
7609841,7609833,OAK3,Golden State FC LLC,255 Park Center Drive,,Patterson,CA,95363-8876,US,7-24-2017,,,,
9903267,,VUTD,Golden State FC LLC,13032 Slover Ave.,,Fontana,CA,92337,US,7-24-2017,,,,
7800428,7800436,ONT9,Golden State FC LLC,2125 West San Bernardino Ave,,Redlands,CA,92374-5005,US,7-24-2017,,,,
9903828,,LGB4,Golden State FC LLC,27517 Pioneer Avenue,,Redlands,CA,92374-1501,US,7-24-2017,,,,
9904077,,TCA2,Treasure Truck Node,2400 Marine Avenue,,Redondo Beach,CA,90278,US,7-24-2017,,,,
7801580,7801599,SNA4,Golden State FC LLC,2496 W Walnut Ave,,Rialto,CA,92376-3009,US,7-24-2017,,,,
9902430,,XUSJ,Golden State FC LLC,1590 Tamarind Ave,,Rialto,CA,92376,US,7-24-2017,,,,
9903801,9911332,SMF1,Golden State FC LLC,4900 W Elkhorn Blvd,,Sacramento,CA,95835-9505,US,7-24-2017,,,,
9903763,,TCA9,Treasure Truck Node,2934 Ramona Ave,,Sacramento,CA,95826,US,7-24-2017,,,,
7801874,,SNA7,Golden State FC LLC,555 East Orange Show Rd,,San Bernadino,CA,92408-2606,US,7-24-2017,,,,
7802110,7802129,SNA8,Golden State FC LLC,555 East Orange Show Rd,,San Bernadino,CA,92408-2453,US,7-24-2017,,,,
8021937,8021945,ONT2,Golden State FC LLC,1910 E Central Ave,,San Bernardino,CA,92408-0123,US,7-24-2017,,,,
8022968,802300X,ONT4,Golden State FC LLC,1910 E Central Ave,,San Bernardino,CA,92408-0123,US,7-24-2017,,,,
