SAN,Carton Quantity SAN*,Amazon Identifier,Name,Address 1,Address 2,City,State,Zip,Country,Added,,,,
9904336,,CLE1,Amazon.com.kydc LLC,2020 Euclid Ave,,Cleveland,OH,44115,US,7-24-2017,,,,
9904301,,OSU1,Amazon.com.dedc LLC,2114 N. High Street,,Columbus,OH,43201,US,7-24-2017,,,,
7801769,,UOH2,Amazon.com.dedc LLC,3563 Interchange Rd,,Columbus,OH,43204,US,7-24-2017,,,,
7802234,7802242,CMH1,Amazon.com.dedc LLC,11999 National Road SW,,Etna,OH,43062,US,7-24-2017,,,,
7802544,,CMH2,Amazon.com.dedc LLC,6050 Gateway Court,,Groveport,OH,43125-9016,US,7-24-2017,,,,
9904476,,POR1,Amazon.com.dedc LLC,1131 SW Jefferson Street,,Portland,OR,97201,US,7-24-2017,,,,
9904190,,VUOL,Amazon.com.dedc LLC,14005 North Lombard,,Portland,OR,97203,US,7-24-2017,,,,
9903895,,TOR1,Treasure Truck Node,2250 NW 22nd Ave,,Portland,OR,97210,US,7-24-2017,,,,
9905022,,VUGJ,Amazon Nestle Vendor Flex CA,4275 Fritch Dr,,Bethlehem,PA,18020,US,7-24-2017,,,,
8019150,8019169,ABE3,Amazon.com.dedc LLC,650 Boulder Drive,Attn: Receiving,Breinigsville,PA,18031-1536,US,7-24-2017,,,,
7607814,7607806,ABE2,Amazon.com.dedc LLC,705 Boulder Drive,Attn: Receiving,Breinigsville,PA,18031-1533,US,7-24-2017,,,,
780007X,,XUSC,Amazon.com.dedc LLC,40 Logistics Dr,,Carlisle,PA,17013-7901,US,7-24-2017,,,,
8026750,8026769,MDT1,Amazon.com.dedc LLC,2 Ames Drive,,Carlisle,PA,17015,US,7-24-2017,,,,
8018154,8018162,PHL6,Amazon.com.dedc LLC,675 Allen Rd.,Attn: Receiving,Carlisle,PA,17015-7788,US,7-24-2017,,,,
8001774,,PHL4,Amazon.com.dedc LLC,21 Roadway Dr,,Carlisle,PA,17015-8806,US,7-24-2017,,,,
7801912,7801920,ABE4,Amazon.com.dedc LLC,1610 Van Buren Road,,Easton,PA,18045,US,7-24-2017,,,,
7801203,7801211,AVP3,Amazon.com.dedc LLC,298 1st Ave,,Gouldsboro,PA,18424-9492,US,7-24-2017,,,,
9904662,,ABE9,Amazon.com.kydc LLC,100 Quality Circle,Suite 106,Harrisburg,PA,17112,US,7-24-2017,,,,
7802595,,ABE5,Amazon.com.kydc LLC,2455 Boulevard of the Generals,,Norristown,PA,19403,US,7-24-2017,,,,
8013861,7606427,AVP1,Amazon.com.dedc LLC,550 Oak Ridge Road,,Hazleton,PA,18202-9361,US,7-24-2017,,,,
8025614,,XUSG,Amazon.com.kydc LLC,9645 West Hills Court,,Kutztown,PA,19530,US,7-24-2017,,,,
8002983,,PHL5,Amazon.com.dedc LLC,500 McCarthy Dr.,Fairview Business Park,Lewisberry,PA,17339-8725,US,7-24-2017,,,,
9902171,,PPA1,Amazon.com.dedc LLC,545 Oak Hill Road,,Mountaintop,PA,18707-2141,US,7-24-2017,,,,
9904484,,PEN1,Amazon.com.dedc LLC,3800 Locust Walk,Class of 1920 Commons,Philadelphia,PA,19104,US,7-24-2017,,,,
9903887,,TPAA,Amazon.com.dedc LLC,4101 Sansom St,,Philadelphia,PA,19104,US,7-24-2017,,,,
9902120,,AVP8,Amazon.com.dedc LLC,250 Enterprise Way,,Pittston,PA,18640-5000,US,7-24-2017,,,,
9902279,,VAVP,Amazon.com.dedc LLC,250 Enterprise Way,,Pittston,PA,18640-5000,US,7-24-2017,,,,
7801246,7801114,AVP6,Penguin Group Inc,1 Commerce Rd,,Pittston,PA,18640-9509,US,7-24-2017,,,,
7801858,,VUGP,Amazon Nestle Vendor Flex CA,234 Walnut Bottom Road,,Shippensburg,PA,17257,US,7-24-2017,,,,
9905197,,VUPH,Amazon.com.dedc LLC,9300 Olde Scotland Road,,Shippensburg,PA,17257,US,7-24-2017,,,,
9905154,,SCE1,Amazon.com.dedc LLC,134 South Allen St,,State College,PA,16801,US,7-24-2017,,,,
7800924,,VUGA,Amazon Nestle Vendor Flex CA,508 Delaware Ave,,West Pittston,PA,18643,US,7-24-2017,,,,
8021694,,GSP1,Amazon.com.dedc LLC,402 John Dodd Rd,,Spartanburg,SC,29303-6312,US,7-24-2017,,,,
9903615,,CAE3,NFI 3PL Perris, CA,222 Old Wire Road,,West Columbia,SC,29172,US,7-24-2017,,,
7608853,7608861,CAE1,Amazon.com.dedc LLC,4400 12TH Street Extension,,West Columbia,SC,29172-3300,US,7-24-2017,,,,
8020345,8020353,CHA2,Amazon.com.dedc LLC,225 Infinity Dr NW,Attn: Receiving,Charleston,TN,37310-1400,US,7-24-2017,,,,
8020361,802037X,CHA1,Amazon.com.dedc LLC,7200 Discovery Drive,Attn: Receiving,Chattanooga,TN,37416-1757,US,7-24-2017,,,,
7608993,7609000,BNA1,Amazon.com.dedc LLC,14840 Central Pike,Suite 190,Lebanon,TN,37090-8119,US,7-24-2017,,,,
8021554,,BNA2,Amazon.com.dedc LLC,500 Duke Dr,,Lebanon,TN,37090-8123,US,7-24-2017,,,,
8021708,8021716,BNA3,Amazon.com.dedc LLC,2020 Joe B Jackson Pkwy,,Murfreesboro,TN,37127-7792,US,7-24-2017,,,,
9904182,,TTNA,Treasure Truck Node,410 Harding Industrial Dr.,,Nashville,TN,37211,US,7-24-2017,,,,
9904387,,TEX1,Amazon.com.dedc LLC,2101 Speedway,Gregory Gym,Austin,TX,78712,US,7-24-2017,,,,
9903666,,TTX2,Treasure Truck Node,4616 W Howard Lane., Bldg 7,Suite 750,Austin,TX,78728,US,7-24-2017,,,
9902988,,UTX8,Amazon.com.kydc LLC,4825 Eisenhauer Rd,Building , Suite 730,San Antonio,TX,78218,US,7-24-2017,,,
7609809,7609795,DFW6,Amazon.com.kydc LLC,940 W Bethel Road,,Coppell,TX,75019-4424,US,7-24-2017,,,,
9903569,,TTX4,Treasure Truck Node,6627 Maple Avenue,,Dallas,TX,75235,US,7-24-2017,,,,
7801130,7801165,FTW1,Amazon.com.kydc LLC,33333 LBJ Freeway,,Dallas,TX,75241-7203,US,7-24-2017,,,,
7802528,,VUPO,Amazon.com.dedc LLC,4808 Mountain Creek Parkway,,Dallas,TX,75236,US,7-24-2017,,,,
7801866,,FTW2,Amazon.com.kydc LLC,2701 West Bethel Road,,Dallas,TX,75261,US,7-24-2017,,,,
8002657,,DFW1,Amazon.com.kydc LLC,2700 Regent Blvd,,DFW Airport,TX,75261,US,7-24-2017,,,,
7802358,7802366,DAL6,AmazonFresh LLC,4601 Gold Spike,,Fort Worth,TX,76106,US,7-24-2017,,,,
7801939,7801947,FTW3,Amazon.com.kydc LLC,15201 Heritage Pkwy,,Fort Worth,TX,76177-2517,US,7-24-2017,,,,
7609906,,XUSB,Amazon.com.kydc LLC,14900 Frye Rd,,Fort Worth,TX,76155,US,7-24-2017,,,,
7609825,7609817,DFW7,Amazon.com.kydc LLC,700 Westport Parkway,,Fort Worth,TX,76177-4513,US,7-24-2017,,,,
9905057,,IAH6,AmazonFresh LLC,8401 Fallbrook Drive,,Houston,TX,77064,US,7-24-2017,,,,
9903577,,TTX3,Treasure Truck Node,4221 Way Out West Drive,Suite 200,Houston,TX,77092,US,7-24-2017,,,,
7802021,,HTX1,Amazon.com.kydc LLC,1 World Way,,Los Angeles,CA,90045,US,7-24-2017,,,,
7802560,,HTX2,Amazon.com.kydc LLC,4221 Way Out West Drive,Suite 200,Houston,TX,77092-1455,US,7-24-2017,,,,
9903356,9903399,HOU2,Amazon.com.dedc LLC,10550 Ella Boulevard,,Houston,TX,77038-2324,US,7-24-2017,,,,
7802102,,DFW9,Amazon.com.kydc LLC,2700 Regent Blvd,,DFW Airport,TX,75261-4405,US,7-24-2017,,,,
9902198,,PTX1,Amazon.com.kydc LLC,2101 Danieldale Road,,Lancaster,TX,75134-1551,US,7-24-2017,,,,
990431X,,LBB1,Amazon.com.dedc LLC,2407 9th Street,Suite 400,Lubbock,TX,79401,US,7-24-2017,,,,
9903755,,TTX5,Treasure Truck Node,4848 Perrin Creek 680,,San Antonio,TX,78217,US,7-24-2017,,,,
7802498,9911359,SAT2,Amazon.com.kydc LLC,1401 E McCarty Lane,,San Marcos,TX,78666-8969,US,7-24-2017,,,,
7609787,7609779,SAT1,Amazon.com.kydc LLC,6000 Enterprise Avenue,,Schertz,TX,78154-1461,US,7-24-2017,,,,
7802080,,VUPJ,Amazon.com.dedc LLC,100 Mars Road,,Wilmer,TX,75172,US,7-24-2017,,,,
8029083,8029091,ORF1,Norfolk 3PL Import Crossdock,3516 South Military Hwy.,,Chesapeake,VA,23323,US,7-24-2017,,,,
8021724,8021732,RIC2,Amazon.com.kydc LLC,1901 Meadowville Technology Pkwy,,Chester,VA,23836-2841,US,7-24-2017,,,,
8021686,,RIC1,Amazon.com.kydc LLC,5000 Commerce Way,,Petersburg,VA,23803-6917,US,7-24-2017,,,,
7801068,7801076,BWI6,Amazon.com.dedc LLC,5617 Industrial Drive,,Springfield,VA,22151-4410,US,7-24-2017,,,,
7801777,,UTX4,Amazon.com.kydc LLC,6627 Maple Avenue,,Dallas,TX,75235-4622,US,7-24-2017,,,,
8016895,,SEA8,AmazonFresh LLC,1227 124th Ave NE,Building 2,Bellevue,WA,98004,US,7-24-2017,,,,
7609728,760971X,BFI3,Amazon.com.dedc LLC,2700 Center Drive,,DuPont,WA,98327-9607,US,7-24-2017,,,,
9903232,,BFI6,Amazon.com.dedc LLC,20202, 84th Avenue South,,Kent,WA,98032,US,7-24-2017,,,
9904719,,HWA3,Amazon.com.dedc LLC,20202 84th AVE S,,Kent,WA,98032,US,7-24-2017,,,,
9904212,,ISE5,Amazon.com.dedc LLC,20202 84th Ave South,,Kent,WA,98032,US,7-24-2017,,,,
7802536,,VUPM,Amazon.com.dedc LLC,1205 Wharf Road,,DuPont,WA,98327,US,7-24-2017,,,,
8026645,8026653,BFI4,Amazon.com.dedc LLC,21005 64th Ave S,,Kent,WA,98032-2423,US,7-24-2017,,,,
7802447,,HWA1,Amazon.com.dedc LLC,11710 118th Ave NE,Building B,Kirkland,WA,98034-7110,US,7-24-2017,,,,
9902066,,HWA2,Prime Now LLC,20529 24th Ave S,,SeaTac,WA,98198-5503,US,7-24-2017,,,,
9903240,,TWA0,Treasure Truck Node,13537 Aurora Ave N,,Seattle,WA,98133,US,7-24-2017,,,,
9902708,,FSE2,Amazon.com.dedc LLC,5100 15th Ave NW,,Seattle,WA,98107,US,7-24-2017,,,,
9902694,,FSE3,Amazon.com.dedc LLC,76 South Lander Street,,Seattle,WA,98134,US,7-24-2017,,,,
801826X,,SEA6,Amazon.com.dedc LLC,2646 Rainier Ave. South,,Seattle,WA,98144,US,7-24-2017,,,,
802023X,8020248,BFI1,Amazon.com.dedc LLC,1800 140th Avenue E.,,Sumner,WA,98390-9624,US,7-24-2017,,,,
8026637,,BFIX,Amazon.com.dedc LLC,1800 140th Ave E,Suite XB,Sumner,WA,98390-9624,US,7-24-2017,,,,
9902163,,PWA1,Amazon.com.dedc LLC,1800 140TH AVE E,,SUMNER,WA,98390-9624,US,7-24-2017,,,,
802538X,8025398,MKE1,Amazon.com.dedc LLC,3501 120th Ave,,Kenosha,WI,53144-7502,US,7-24-2017,,,,
9903364,9903402,BFI7,Amazon.com.dedc LLC,1901 140th Ave E,,Sumner,WA,98390,US,08-07-2017,,,,
9903380,9903429,MKC6,Amazon.com.ksdc LLC,6925 Riverview Avenue,,Kansas City,KS,66102,US,08-08-2017,,,,
990574X,9906657,XBC1,NFI 3PL CHINO II: (746)/ (XBC1),15750 Mountain Avenue,,Chino,CA,91708,US,08-11-2017,,,,
9906053,,VUBJ,VUBJ - Mattel San Bern CA,1456 Harry Shepard Blvd,,San Bernardino,CA,92408,US,08-11-2017,,,,
9906193,,SUBT,SUBT - Tend Skin,6033 N Sheridan Rd, Ste S6,,Chicago,IL,60660,US,08-11-2017,,,
990607X,,XLAB,Innovel Romeoville DDC,1701 W Normantown Rd,,Romeoville,IL,60446,US,08-11-2017,,,,
9906134,,PIN1,PIN1 - Indianapolis,5510 EXPLORATION DR,,Indianapolis,IN,46241-9007,US,08-11-2017,,,,
9906045,,VUPV,VUPV - RB MO,2001 Premier Pkwy,,Saint Peters,MO,63376,US,08-11-2017,,,,
9906169,,SUHA,SUBC - Gilden Tree,9203 J Street,,Omaha,NE,68127,US,08-11-2017,,,,
9906185,,SUBD,AZ Texts LLC (SUBD),81 Christopher St,,Staten Island,NY,10303,US,08-11-2017,,,,
9906150,,FTW7,FTW7 - Coppell,944 W Sandy Lake Rd,,Coppell,TX,75019-3989,US,08-11-2017,,,,
9906142,9918957,FTW8,FTW8 - Dallas,3351 Balmorhea Dr.,,Dallas,TX,75241-7304,US,08-11-2017,,,,
9906126,,VUBI,VUBI - Mattel Forth Worth,501 Meacham Blvd,,Fort Worth,TX,76106,US,08-11-2017,,,,
9906177,,SUPA,SUPA - Big Dot of Happiness,412 Technology Drive E.,,Menomonie,WI,54571,US,08-11-2017,,,,
9906754,,XLAG,Innovel STOCKTON - DDC,2115 S Sinclair Ave,,Stockton,CA,95215,US,10-11-2017,,,,
9906738,,XLAH,Innovel PENDERGRASS - DDC,580 Raco Pkwy,,Pendergrass,GA,30567,US,10-11-2017,,,,
9906746,,XLAE,Innovel COLUMBUS - DDC,5330 Crosswind Dr,,Columbus,OH,43228,US,10-11-2017,,,,
9906789,,XLAJ,Innovel OLIVE BRANCH/MEMPHIS-DDC,10425 RIDGEWOOD DR,,OLIVE BRANCH,MS,38654,US,10-11-2017,,,,
9906770,,XLAF,Innovel DALLAS - DDC,1600 Roe St,,Dallas,TX,75215,US,10-11-2017,,,,
9906762,,XLAI,Innovel KENT - DDC,7650 S 228th St,,Kent,WA,98032,US,10-11-2017,,,,
990672X,,SULD,Net Health Shops, LLC d.b.a. Serenity Health - SULD,2020 Prairie Ln,Suite 101,Eau Claire,WI,54703,US,10-11-2017,,,
1367366,,SMSA,SMSA - Stylo Zapaterias,San Andr�s Atoto 21B col. San Esteban,,Naucalpan,,53550,MX -Mexico,10-12-2017,,,,
1367374,,SMOA,SMOA - PEDIDOSCOM,Av. Jesus Reyes Heroles 69, col. San Juan Ixtacala,,Tlalnepantla,,54160,MX -Mexico,10-12-2017,,,
9906886,,SUAK,Glorycycling International Inc,1170 Centre Drive,SUITE A,Walnut,CA,91789,US,11-04-2017,,,,
9906878,,XLAK,Innovel DENVER - LSC,18875 E BROMLEY LN,SUITE A,BRIGHTON,CO,80601,US,11-04-2017,,,,
990686X,,VFSN,VFSN - Spartan Nash Fresh Flex,7401 F ST,,OMAHA,NE,68127,US,11-04-2017,,,,
9906894,,SUPB,SUPB- Big Dot of Happiness,412 Technology Drive E.,,Menomonie,WI,54751,US,11-04-2017,,,,
9906932,,SUAC,SUAC- Webzom,100 S Wineville Ave,,Ontario,CA,91761,US,11-07-2017,,,,
9906940,,SUEB,SUEB- Spy Tec,135 West 36th Street FL 13,,New York,NY,10018,US,11-07-2017,,,,
9907009,,SUDA,SUDA - DragonMarts,8179 Dixie Hwy,Suite 200,Florence,KY,41042,US,11-09-2017,,,,
9906991,,SULC,SULC - Seven Times Six,1345 Taylor Farms Road,Suite 112,Virginia Beach,VA,23453,US,11-09-2017,,,,
9907130,,SUAW,SUAW- VRMI/Swiftpart,8870 Boggy Creek Rd,,Orlando,FL,32824,US,11-21-2017,,,,
9907122,,SULE,SULE- Innova Supply,100 Solutions Parkway,,Thomaston,GA,30286,US,11-21-2017,,,,
9904409,,Mar-01,Mar-01,4200 Guilford Dr, Suite B1,,College Park,MD,20740,US,11-22-2017,,,
9907181,,SUHC,SUHC- Avalanche Brands,18 Dixon St,,Selbyville,DE,19975,US,12-01-2017,,,,
9907211,,SUGD,SUGD- BW Skin Care Inc,6033 N Sheridan Rd,,Chicago,IL,60660,US,12-01-2017,,,,
990719X,,SUAD,SUAD- Dreem Co.,2533 ROYAL LN STE 505,,Dallas,TX,75229,US,12-01-2017,,,,
9907203,,SUED,SUED- Huppins,229 N Ella Rd,,Spokane Valley,WA,99212,US,12-01-2017,,,,
990736X,,SUHD,SUHD - Hinson Motorsports,4675 Appaloosa Drive,,Irondale,AL,35210,US,12-12-2017,,,,
9907351,,VUVB,VUVB - Microsoft VF CA,2053 East Jay St,,Ontario,CA,91764,US,12-12-2017,,,,
9907297,,VUPX,VUPX - Clorox VF CA,2300 W San Bernardino Ave,,Redlands,CA,92374,US,12-12-2017,,,,
9907300,,VUPY,VUPY - Colgate VF GA,2501 Rockhouse Road,,Lithia Springs,GA,30122,US,12-12-2017,,,,
9907378,,VUQD,VUQD - Mead Johnson VF IN,3101 IN-62,,Mt Vernon,IN,47620,US,12-12-2017,,,,
9907343,,VUVC,VUVC - Microsoft VF KY,2500 Export Dr,Door 1,Louisville,KY,40219,US,12-12-2017,,,,
9907289,,VUME,VUME - Drive Medical VF NJ,200 Docks Corner Road,Suite 241,South Brunswick,NJ,8810,US,12-12-2017,,,,
9907335,,SUGC,SUGC - Driftaway LLC,175 Van Dyke St.,,Brooklyn,NY,11231-1079,US,12-12-2017,,,,
9907319,,VUQC,VUQC - Perfume WW VF NY,2020 Ocean Avenue,,Ronkonkoma,NY,11779,US,12-12-2017,,,,
9907327,,VUPZ,VUPZ - Colgate VF TX,4800 Henrietta Creek Rd,,Fort Worth,TX,76177,US,12-12-2017,,,,
9907270,,SULU,SULU- Seven Times Six,582 S 1100 W,,Woods Cross,UT,84087,US,12-12-2017,,,,
9907386,,VUWE,VUWE - Nestle Modesto,736 Garner Rd,,Modesto,CA,95357,US,12-15-2017,,,,
9907394,,VUGM,VUGM - Mondelez PA,597 Alexander Spring Rd.,,Carlisle,PA,17015,US,12-15-2017,,,,
9907408,,SUXA,SUXA- Test Node,345 Boren Ave N,,Seattle,WA,98109,US,12-15-2017,,,,
9907572,,SUAG,SUAG -Nayked Apparel,137 Leo Taylor Ln,,Ball Ground,GA,30107,US,01-05-2018,,,,
9907513,,VUQF,VUQF - J&J IN,2100 Innovation Blvd,,Mooresville,IN,46158,US,01-05-2018,,,,
9907580,,SUHE,SUHE - Persian Rugs,239 Old New Brunswick Road Dock 7&8,,Piscataway,NJ,8854,US,01-05-2018,,,,
9907521,,VUHG,VUHG - Interdesign OH,28625 Fountain Parkway,,Solon,OH,44139,US,01-05-2018,,,,
9907564,,VUGL,VUGL - Pepsi PA,1200 Distribution Drive,,Carlisle,PA,17013,US,01-05-2018,,,,
990753X,,VUQE,VUQE - First Quality PA,69 Green Mountain Road,,Hazleton,PA,18202,US,01-05-2018,,,,
9907556,,SUAH,SUAH - Nayked Apparel,600 Industrial Dr,,Lewisberry,PA,19114,US,01-05-2018,,,,
9907548,,SUOF,SUOF - My Office Innovations,6605 Roxburgh Dr. Suite 400,,Houston,TX,77041,US,01-05-2018,,,,
9907688,,SUXC,SUXC - Amazon Test Site,345 Boren Ave N,,Seattle,WA,98109,US,1-24-2018,,,,
9908749,,SUHQ,SUHQ - ShipIQ,4635 NAUTILUS CT S,STE D,Boulder,CO,80301,US,2-13-2018,,,,
9908714,,SUEJ,SUEJ - Good as New Electronics,9462 Franklin Avenue,,Franklin Park,IL,60131,US,2-13-2018,,,,
9908706,,SUEI,SUEI - OWC,8 GALAXY WAY,,Woodstock,IL,60098,US,2-13-2018,,,,
9908692,,SUEH,SUEH - A1 Components,1760 West Terra Lane,,OFallon,MT,63366,US,2-13-2018,,,,
9908722,,SUHP,SUHP - OxKom,45 Leone Lane,,CHESTER,NY,10918,US,2-13-2018,,,,
9908730,,SUHT,SUHT - GOVERRE,1809 W. Frankford Rd,Suite 160,Carrollton,TX,75007,US,2-13-2018,,,,
9908854,,SUPL,SUPL - BTExpert,587 Apollo St,,Brea,CA,92821,US,2-19-2018,,,,
9908862,,SUPK,SUPK - Prosumer's Choice,9851 Owensmouth Ave,,Chatsworth,CA,91311,US,2-19-2018,,,,
9908846,,SUHW,SUHW - Koyal Wholesale,2325 Raymer Ave,,Fullerton,CA,92833,US,2-19-2018,,,,
9908870,,SUOO,SUOO - GLVSS,16792 Burke Lane,,Huntington Beach,CA,92647,US,2-19-2018,,,,
9908889,,SUON,SUON - Signs Direct,1703 S Veterans Pkwy,,Bloomington,IL,61701,US,2-19-2018,,,,
9908811,,VUKZ,CTDI New Jersey,400 Arlington Blvd,,Logan Township,NJ,8085,US,2-19-2018,,,,
9908838,,SUWB,SUWB - DealFisher,150 Ethel Road West,,Piscataway,NJ,8854,US,2-19-2018,,,,
990882X,,SUAS,SUAS - Nayked Apparel,2800 Corporate Exchange Drive,,Columbus,OH,43231,US,2-19-2018,,,,
9908897,,SUAY,SUAY - Little Family Members,10020 S Gibson Rd,,Molalla,OR,97038,US,2-19-2018,,,,
9908943,,SUSH,SUSH - zeroUV,16792 Burke Lane,,Huntington Beach,CA,92647,US,2-20-2018,,,,
9908919,,SUAX,SUAX - Athens Dodge Chrysler Jeep,394 COMMERCE BLVD,,Athens,GA,30606,US,2-20-2018,,,,
9908927,,SUSI,SUSI - KnifeCountryUSA,7194 Big Sky Drive Suite 5,,Holly,MI,48442,US,2-20-2018,,,,
9908935,,SUTA,SUTA - ToyKingsOnline,4503 Airwest DR SE,,Kentwood,MI,49512,US,2-20-2018,,,,
9908951,,SUOM,SUOM - Marketfair Stationery,1230 Highway 34,,Aberdeen,NJ,7747,US,2-20-2018,,,,
1367420,1367439,MEX3,Servicios Comerciales Amazon Mexico S. de R.L. de C.V.,Amazon MEX3 Prologis Park Grande,Libramiento Norte No. 87 Lote A,Tepotzotlan,Estado de Mexico,54607,MX -Mexico,2-21-2018,,,,
8100705,,XCAB,XCAB DHL 3PL Calgary, AB,1882 118 Avenue NE,,Calgary,AB,T3K 0R1,CA - Canada,2-23-2018,,,
8100713,,XCAC,XCAC DHL 3PL Toronto, ON,9501 Highway 50,,Woodbridge,ON,L4H 2B9,CA - Canada,2-23-2018,,,
9909036,,SUFC,SUFC - ocpower,587 Apollo St,,Brea,CA,92821,US,2-23-2018,,,,
990901X,,TCA0,Treasure Truck TCA0 Node,455 Valley Drive,,Brisbane,CA,94005,US,2-23-2018,,,,
9909028,,SUPM,SUPM - E2W Distribution,1-AB Terminal Way,,Avenel,NJ,7001,US,2-23-2018,,,,
9909230,,SUJB,SUJB - Peora,706 North Diamond Bar Blvd,Unit A,Diamond Bar,CA,91765,US,03-07-2018,,,,
9909265,,SUOQ,SUOQ - LD Products,3700 Cover St,,Long Beach,CA,90808,US,03-07-2018,,,,
9909176,,SUJD,SUJD - Old Glory/Animalworld,47 Industrial Park Rd,,Centerbrook,CT,6409,US,03-07-2018,,,,
9909273,,SUHS,SUHS- Avalanche Brands,18 Dixon St,,Selbyville,DE,19975,US,03-07-2018,,,,
9909281,,SUJC,SUJC - BodyJ4You,325 NW 28TH ST,,Miami,FL,33127,US,03-07-2018,,,,
9909303,,SUJA,SUJA - BodyJ4You,325 NW 28TH ST,,Miami,FL,33127,US,03-07-2018,,,,
9909192,,SUSL,SUSL - Direct Premium Buys,153 Washington St,1st Floor,East Walpole,MA,2032,US,03-07-2018,,,,
990929X,,SUSK,SUSK - Direct Premium Buys,153 Washington St,1st Floor,East Walpole,MA,2032,US,03-07-2018,,,,
9909222,,SUHX,SUHX - Pinklim,104A GLENN ST,,LAWRENCE,ME,1843,US,03-07-2018,,,,
9909125,,SUVA,SUVA - Loot Hive,8933 Lyndale Ave S,,Bloomington,MN,55420,US,03-07-2018,,,,
990915X,,SUPN,SUPN - What America Buys,4201 Tonelle Ave,,North Bergen,NJ,7047,US,03-07-2018,,,,
9909133,,SUMA,SUMA - aSavings,1201 Jersey Avenue,,North Brunswick,NJ,8902,US,03-07-2018,,,,
9909249,,SUAZ,SUAZ - Under Moments,1189 McDonald Ave,,Brooklyn,NY,11230,US,03-07-2018,,,,
9909214,,SUOP,SUOP - BestSource OfficeSupplies,1673 NY-17M,,Chester,NY,10918,US,03-07-2018,,,,
990932X,,SUOW,SUOW - PLUS Corporation of America,9655 SW Sunshine CT,SUITE 300,Beaverton,OR,97005,US,03-07-2018,,,,
9909141,,SUOS,SUOS Plus Corporation of America,9655 SW SUNSHINE CT,SUITE 300,BEAVERTON,OR,97005,US,03-07-2018,,,,
9909206,,SUOT,SUOT - LD Products,3820 Hempland Rd,,Mountville,PA,17544,US,03-07-2018,,,,
9909257,,SUOR,SUOR - LD Products,3820 Hempland Rd,,Mountville,PA,17544,US,03-07-2018,,,,
9909168,,SUSJ,SUSJ - Gear Meister,8427 South Old Bingham Hwy,,West Jordan,UT,84088,US,03-07-2018,,,,
9909311,,SUCE,SUCE - Focus Camera,1201 Jersey Avenue,,North Brunswick,NJ,8902,US,03-07-2018,,,,
9909400,,SUPR,SUPR - Nutricity,9414 E San Salvador Dr,,Scottsdale,AZ,85258,US,03-09-2018,,,,
9909443,,SUBJ,SUBJ - Walker Bookstore,1104 W Geneva Dr,,Tempe,AZ,85281,US,03-09-2018,,,,
9909451,,SUBW,SUBW - Walker Bookstore,1104 W Geneva Dr,,Tempe,AZ,85281,US,03-09-2018,,,,
9909427,,SUFD,SUFD - ocpower,2024 CAPITAL DR,,WILMINGTON,NC,28405-6464,US,03-09-2018,,,,
990946X,,SUNC,SUNC - E2W Distribution,1113 E 230th Street,,Carson,CA,90745,US,03-09-2018,,,,
9909370,,SUBV,DataAlchemy,810 E 8th St,,Oakland,CA,94606,US,03-09-2018,,,,
9909354,,SUJF,SUJF - Webzom,100 S Wineville Ave,,Ontario,CA,91761,US,03-09-2018,,,,
9909389,,SUPP,SUPP - Longhorn Distribution,230 Centerpoint BLVD,,New Castle,DE,19720,US,03-09-2018,,,,
9909494,,SUPQ,SUPQ - Longhorn Distribution,230 Centerpoint BLVD,,New Castle,DE,19720,US,03-09-2018,,,,
9909435,,SUBU,SUBU - Cirdan,2213 VISTA PKWY,Suite 8,West Palm Beach,FL,33411,US,03-09-2018,,,,
9909486,,SUNB,SUNB - E2W Distribution,320 Telfair Rd,,Savannah,GA,31415,US,03-09-2018,,,,
9909346,,SUDB,SUDB - DragonMarts,8179 Dixie Highway,Suite 200,Florence,KY,41042,US,03-09-2018,,,,
9909419,,SUHV,SUHV - Bare Home,10335 Naples ST NE,,Blaine,MN,55449,US,03-09-2018,,,,
9909397,,SUOX,SUOX - The Mega Deals,19 Robert Pitt Drive STE 103,,Monsey,NY,10952,US,03-09-2018,,,,
9909532,,SUJE,SUJE - Inktastic,5124 Cleveland Rd,,Wooster,OH,44691,US,03-09-2018,,,,
9909362,,SULX,SULX - Line 9 Sales,1728 Smallman St.,,Pittsburgh,PA,15222,US,03-09-2018,,,,
9909516,,SUOY,SUOY - E2W Distribution,1728 Smallman St.,,Pittsburgh,PA,15222,US,03-09-2018,,,,
9909524,,SULF,SULF - ShipIQ,170 Longs Pond Rd,,Lexington,SC,29072,US,03-09-2018,,,,
9909508,,SUOZ,SUOZ - E2W Distribution,359 Pike Court,Suite 500,La Porte,TX,77571,US,03-09-2018,,,,
9909478,,SUNA,SUNA - E2W Distribution,4179 70th Ave East,Suite A,Fife,WA,98424,US,03-09-2018,,,,
9905898,9911308,FTW6,Amazon.com.kydc LLC,2601 W Bethel Road,,Dallas,TX,75261-4034,US,3-14-2018,,,,
9909648,,XUSQ,Amazon Fulfillment Services,460 RESEARCH DR,,Pittston,NJ,18640,US,04-04-2018,,,,
9909656,,ISE1,Amazon Retail LLC,2131 7th Ave,,Seattle,WA,98121,US,04-04-2018,,,,
9909737,,VUWC,VUWC - Flagstaff,2400 N WALGREENS ST,,Flagstaff,AZ,86004-6129,US,4-17-2018,,,,
9909796,,XUSP,XUSP - 3PL Kuehne-Nagel,XUSP - 3PL Kuehne-Nagel,,Aberdeen,MD,21001,US,4-18-2018,,,,
