Internal ID,Address Internal ID,Addressee,Address Label
7502,2153934,GDL2,GDL2
7502,2153936,XCL3,XCL3
7502,2153938,C998,
7502,2153940,MAH2,
7502,2153942,MAH0,
7502,2153944,MAL0,
7502,2153946,MAK1,
7502,2153948,VUBZ,
7502,2153355,SCO1,
7502,2153357,SFL2,
7502,2153359,SGA1,
7502,2152640,Brazil 3PL,
7502,2152642,"XCAB DHL 3PL Calgary, AB",
7502,2152644,"Amazon Canada Fulfillment Services, Inc.",
7502,2152646,"Amazon Canada Fulfillment Services, Inc.",
7502,2152648,VOPA,
7502,2152650,"Amazon.com.ca, Inc",
7502,2152652,"Amazon.com.ca, Inc",
7502,2152654,KTO2,
7502,2152656,"Shenzhen Chinex Logistics Co., Ltd.",
7502,2152658,CPA San Martin Obispo Edificio B019,
7502,2152660,Servicios Comerciales Amazon Mexico S. de R.L. de C.V.,
7502,2152662,SMSA - Stylo Zapaterias,
7502,2152664,MEX1 for XBPS,
7502,2152666,SUHB,
7502,2152668,MOB9,
7502,2152670,Amazon.com.azdc LLC,
7502,2152672,Amazon.com.azdc LLC,
7502,2152674,Amazon Fulfillment Services,
7502,2152676,TUS1,
7502,2152678,SUPR - Nutricity,
7502,2152680,SUBW - Walker Bookstore,
7502,2152682,"NFI 3PL Perris, CA",
7502,2152684,BEK1,
7502,2152686,SUFD - ocpower,
7502,2152688,Golden State FC LLC,
7502,2152690,SUPE,
7502,2152692,SUNC - E2W Distribution,
7502,2152694,SUPK - Prosumer's Choice,
7502,2152696,SUOK,
7502,2152698,SUJB - Peora,
7502,2152700,Golden State FC LLC,
7502,2152702,VUWC - Flagstaff,
7502,2152704,Amazon.com.dedc LLC,
7502,2152706,SUPI,
7502,2152708,XFI1,
7502,2152710,SUSH - zeroUV,
7502,2152712,Treasure Truck Node,
7502,2152714,LGB1,
7502,2152716,SUOQ - LD Products,
7502,2152718,Amazon.com.nvdc LLC,
7502,2152720,Treasure Truck Node,
7502,2152722,Amazon.com.kydc LLC,
7502,2152724,VUWE - Nestle Modesto,
7502,2152726,Golden State FC LLC,
7502,2152728,Golden State FC LLC,
7502,2152730,SUAM,
7502,2152732,SUAC- Webzom,
7502,2152734,SUJF - Webzom,
7502,2152736,Golden State FC LLC,
7502,2152738,Golden State FC LLC,
7502,2152740,Golden State FC LLC,
7502,2152742,VUPX - Clorox VF CA,
7502,2152744,Treasure Truck Node,
7502,2152746,Golden State FC LLC,
7502,2152748,VUMD,
7502,2152750,Golden State FC LLC,
7502,2152752,Golden State FC LLC,
7502,2152754,Golden State FC LLC,
7502,2152756,Golden State FC LLC,
7502,2152758,Golden State FC LLC,
7502,2152760,SUBA,
7502,2152762,HCA6,
7502,2152764,Treasure Truck Node,
7502,2152766,Innovel STOCKTON - DDC,
7502,2152768,Amazon.com.dedc LLC,
7502,2152770,Golden State FC LLC,
7502,2152772,Golden State FC LLC,
7502,2152774,VUWA,
7502,2152776,Glorycycling International Inc,
7502,2152778,Amazon Fulfillment Services,
7502,2152780,FAT1,
7502,2152782,SMF3,
7502,2152784,SMF9,
7502,2152786,Amazon.com.dedc LLC,
7502,2152788,SUHQ - ShipIQ,
7502,2152790,DEN6,
7502,2152792,Treasure Truck Node,
7502,2152794,DEN3,
7502,2152796,SUJD - Old Glory/Animalworld,
7502,2152798,Amazon.com.dedc LLC,
7502,2152800,Amazon.com.dedc LLC,
7502,2152802,Amazon.com.dedc LLC,
7502,2152804,SUPQ - Longhorn Distribution,
7502,2152806,SUHS- Avalanche Brands,
7502,2152808,Amazon.com.dedc LLC,
7502,2152810,SUPD,
7502,2152812,AmazonFresh LLC,
7502,2152814,UFL2,
7502,2152816,SUJC - BodyJ4You,
7502,2152818,MIA1,
7502,2152820,Amazon.com.dedc LLC,
7502,2152822,Treasure Truck Node,
7502,2152824,SUAW- VRMI/Swiftpart,
7502,2152826,SUBT - Tend Skin,
7502,2152828,SUOD,
7502,2152830,Treasure Truck Node,
7502,2152832,SUBU - Cirdan,
7502,2152834,MCO1,
7502,2152836,SUAX - Athens Dodge Chrysler Jeep,
7502,2152838,Amazon.com.dedc LLC,
7502,2152840,SUOL,
7502,2152842,VUGO - Abbott GA,
7502,2152844,Amazon.com.dedc LLC,
7502,2152846,AmazonFresh LLC,
7502,2152848,Savannah 3PL Import Crossdock,
7502,2152850,Amazon.com.dedc LLC,
7502,2152852,VUPY - Colgate VF GA,
7502,2152854,Amazon.com.dedc LLC,
7502,2152856,Innovel PENDERGRASS - DDC,
7502,2152858,SUNB - E2W Distribution,
7502,2152860,Amazon.com.dedc LLC,
7502,2152862,Amazon.com.dedc LLC,
7502,2152864,Amazon.com.dedc LLC,
7502,2152866,SUON - Signs Direct,
7502,2152868,Amazon.com.dedc LLC,
7502,2152870,Amazon.com.dedc LLC,
7502,2152872,Treasure Truck Node,
7502,2152874,Amazon.com.dedc LLC,
7502,2152876,Amazon.com.dedc LLC,
7502,2152878,Amazon.com.dedc LLC,
7502,2152880,KIL1,
7502,2152882,Amazon.com.dedc LLC,
7502,2152884,Amazon.com.dedc LLC,
7502,2152886,SUAP,
7502,2152888,Innovel Romeoville DDC,
7502,2152890,Amazon.com.dedc LLC,
